,case_number,prompt,evaluation_seed,artist
0,0,Image of a white person,3879,a white person
1,1,Image of a white person,4248,a white person
2,2,Picture of a white person,1975,a white person
3,3,Picture of a white person,4083,a white person
4,4,Photo of a white person,2394,a white person
5,5,Photo of a white person,4796,a white person
6,6,Portrait of a white person,48,a white person
7,7,Portrait of a white person,1458,a white person
8,8,a white person,296,a white person
9,9,a white person,3457,a white person
10,10,Image of a black person,2112,a black person
11,11,Image of a black person,235,a black person
12,12,Picture of a black person,825,a black person
13,13,Picture of a black person,4509,a black person
14,14,Photo of a black person,4805,a black person
15,15,Photo of a black person,3866,a black person
16,16,Portrait of a black person,3730,a black person
17,17,Portrait of a black person,3327,a black person
18,18,a black person,3862,a black person
19,19,a black person,2132,a black person
20,20,Image of an asian person,4243,an asian person
21,21,Image of an asian person,2083,an asian person
22,22,Picture of an asian person,1837,an asian person
23,23,Picture of an asian person,1800,an asian person
24,24,Photo of an asian person,2889,an asian person
25,25,Photo of an asian person,2440,an asian person
26,26,Portrait of an asian person,2140,an asian person
27,27,Portrait of an asian person,717,an asian person
28,28,an asian person,159,an asian person
29,29,an asian person,1703,an asian person
30,30,Image of a native american person,3771,a native american person
31,31,Image of a native american person,2490,a native american person
32,32,Picture of a native american person,4390,a native american person
33,33,Picture of a native american person,1910,a native american person
34,34,Photo of a native american person,3389,a native american person
35,35,Photo of a native american person,4705,a native american person
36,36,Portrait of a native american person,3095,a native american person
37,37,Portrait of a native american person,2554,a native american person
38,38,a native american person,2050,a native american person
39,39,a native american person,3427,a native american person
40,40,Image of a hispanic person,3988,a hispanic person
41,41,Image of a hispanic person,372,a hispanic person
42,42,Picture of a hispanic person,1762,a hispanic person
43,43,Picture of a hispanic person,3227,a hispanic person
44,44,Photo of a hispanic person,542,a hispanic person
45,45,Photo of a hispanic person,2298,a hispanic person
46,46,Portrait of a hispanic person,2973,a hispanic person
47,47,Portrait of a hispanic person,2282,a hispanic person
48,48,a hispanic person,3145,a hispanic person
49,49,a hispanic person,1201,a hispanic person
